night_number,night_of,local_hour,DATE,OBJECT,OBSERVER,OBSTYPE,DATE-OBS,CAL-OBJ,QTIME,QRA,QDEC,QEQUINOX,QEPOCH,QPMRA,QPMDEC,QPROG,QIDX,TRAJTIME,TRAJID,RADETIME,RA,DEC,RA_2000,DEC_2000,HA,LST,PA,EL,AZ,ZA,NREADS,ITIME,NONDR,EXPLNDR,BRVCORR,LRVCORR,JD,BTJD,phase,normalized_phase,in_transit_flag,campaign,stddev_order19,track,RV_planet,in_transit_text,preposition,baseline,baseline_lo,baseline_hi,lam_0,lam_0_lo,lam_0_hi,amp,amp_lo,amp_hi,sigma,sigma_lo,sigma_hi
879,2020-04-26,1.49,2020-04-27T06:28:47,HAT-P-67b_OUT_1_before1,CFB,Sci,2020-04-27T06:29:11.640106,dark,1587968927.824912791,17:06:26.56,+44:46:37.06,2000,2000,9.436,-18.185,UT20-2-011,6436,1587968859.692760474,346,1587968927.725000000,17.117518,44.738459,17.106775,44.764544,20.808287,13.925805,80.580459,55.043852,54.570228,34.956148,29,308.85,29,308.85,5762.093527160142,-22.22231843427289,2458966.7702736123,1966.7702736123465,-0.9284588877114586,-0.19302268251278606,False,April 2020,0.016845062767786884,E,-137.79662626900083,,Pre,0.0012454566570515,0.0010944239192238,0.0010855918864367,10832.746983721514,0.0553356889304268,0.0549988070088147,0.0531622708113651,0.0036294576642905,0.0037072038813605,0.7034029192278264,0.048724590447953,0.0523460258148639
879,2020-04-26,1.58,2020-04-27T06:34:37,HAT-P-67b_OUT_1_before1,CFB,Sci,2020-04-27T06:35:03.305245,dark,1587969277.067140788,17:06:26.56,+44:46:37.06,2000,2000,9.436,-18.185,UT20-2-011,6436,1587968859.692760474,346,1587969277.038000000,17.11757,44.738157,17.106827,44.76424,20.905532,14.023102,80.580459,55.043852,54.570228,34.956148,29,308.85,29,308.85,5756.350103560059,-22.29260936810169,2458966.7743438105,1966.77434381051,-0.9243886895480684,-0.19217650550026083,False,April 2020,0.014169725716284347,E,-137.52059155258263,,Pre,-0.0015356685739632,0.0010286343684135,0.0010552140692538,10833.072296833596,0.0632654489108972,0.0600293030838656,0.049942748084698,0.0034648512757416,0.0035694618565885,0.6798681331912335,0.0593124655340439,0.0648212543865243
879,2020-04-26,1.68,2020-04-27T06:40:29,HAT-P-67b_OUT_1_before1,CFB,Sci,2020-04-27T06:40:55.338979,dark,1587969629.827530023,17:06:26.56,+44:46:37.06,2000,2000,9.436,-18.185,UT20-2-011,6436,1587968859.692760474,346,1587969629.795000000,17.117643,44.73806,17.1069,44.764141,21.003715,14.121358,80.58055,55.043852,54.570328,34.956148,29,308.85,29,308.85,5750.466675086503,-22.36330196436029,2458966.778418275,1966.778418275062,-0.9203142249959639,-0.19132944152353593,False,April 2020,0.01756986496519863,E,-137.24037407724276,,Pre,-0.0018694686569966,0.0009733073334005,0.001002412210899,10832.918681755096,0.0600792495115456,0.0602450831283931,0.0500639636124602,0.0029956609085927,0.0031166521562238,0.833223069889865,0.0542601348968796,0.0616298069884538
879,2020-04-26,1.78,2020-04-27T06:46:19,HAT-P-67b_OUT_1_before1,CFB,Sci,2020-04-27T06:46:47.563456,dark,1587969979.777269181,17:06:26.56,+44:46:37.06,2000,2000,9.436,-18.185,UT20-2-011,6436,1587968859.692760474,346,1587969979.715000000,17.117717,44.737794,17.106974,44.763873,21.101107,14.218825,80.58055,55.043852,54.570328,34.956148,29,308.85,29,308.85,5744.449477364536,-22.43359289807267,2458966.7824949473,1966.7824949473143,-0.9162375527436963,-0.19048191857526867,False,April 2020,0.012987005045602802,E,-136.95611408713637,,Pre,-0.0041004987009506,0.0009420622414205,0.0009553077069229,10832.966343885611,0.0660941350051871,0.0690700307204679,0.0431442939532095,0.0027891520597668,0.0027309690800825,0.9152287215363728,0.068188391470488,0.0773701797630643
880,2020-04-27,1.18,2020-04-28T06:10:02,HAT-P-67b_IN_1,CFB,Sci,2020-04-28T06:10:31.377897,dark,1588054201.814175072,17:06:26.56,+44:46:37.06,2000,2000,9.436,-18.185,UT20-2-011,6437,1588054174.843663249,228,1588054201.700000000,17.117545,44.737886,17.106801,44.763974,20.56033,13.677875,80.579271,55.043853,54.568928,34.956147,29,308.85,29,308.85,5600.48647867509,-23.56594954431057,2458967.7573076147,1967.7573076146655,0.05857511460751974,0.01217751900453675,True,April 2020,0.02736151018764625,E,11.246033135298033,in transit,Transit,0.0073368816185366,0.0023497483851724,0.0025203359310713,10833.230806878204,0.2221844064915785,0.2684653017531673,0.0478264714731351,0.0047124150477489,0.0047520820254203,1.5227257715230065,0.2445634567454193,0.3049582340345131
880,2020-04-27,1.46,2020-04-28T06:27:08,HAT-P-67b_IN_1,CFB,Sci,2020-04-28T06:27:34.783460,dark,1588055228.166927279,17:06:26.56,+44:46:37.06,2000,2000,9.436,-18.185,UT20-2-011,6437,1588054174.843663249,228,1588055227.973000000,17.117773,44.737157,17.107029,44.763237,20.845958,13.963732,80.579271,55.043853,54.568928,34.956147,29,308.85,29,308.85,5584.386366156986,-23.75685020012315,2458967.7691525863,1967.7691525863484,0.07042008629039609,0.014640038604249304,True,April 2020,0.029246569117076914,E,13.514312773349168,in transit,Transit,-0.0055850613577333,0.0021402770413114,0.0021911209921147,10832.96692976778,0.141598771988356,0.1634797541209991,0.0511168853157185,0.0060140854809764,0.0060627572224237,1.0307899907276714,0.1464507995468048,0.190350087554981
880,2020-04-27,1.55,2020-04-28T06:32:48,HAT-P-67b_IN_1,CFB,Sci,2020-04-28T06:33:15.912797,dark,1588055567.586066555,17:06:26.56,+44:46:37.06,2000,2000,9.436,-18.185,UT20-2-011,6437,1588054174.843663249,228,1588055567.363000000,17.117833,44.736971,17.107089,44.76305,20.940431,14.058265,80.579271,55.043853,54.568928,34.956147,29,308.85,29,308.85,5578.760006875041,-23.82011162594426,2458967.7731008427,1967.7731008427218,0.07436834266380155,0.015460864433512913,True,April 2020,0.01796338794435464,E,14.269700926400674,in transit,Transit,-0.0045547733630296,0.0012968731767277,0.001286070778808,10832.83784922053,0.1007630281746969,0.1044927902330528,0.0457615411789116,0.0029277337920283,0.003076443955449,1.2843758233918097,0.1010871967083832,0.1109558234873402
880,2020-04-27,1.65,2020-04-28T06:38:28,HAT-P-67b_IN_1,CFB,Sci,2020-04-28T06:38:57.035378,dark,1588055908.281143603,17:06:26.56,+44:46:37.06,2000,2000,9.436,-18.185,UT20-2-011,6437,1588054174.843663249,228,1588055908.170000000,17.117903,44.736892,17.107158,44.762969,21.03529,14.153192,80.579271,55.043853,54.568928,34.956147,29,308.85,29,308.85,5573.00932391142,-23.88337305188179,2458967.7770490204,1967.7770490203984,0.07831652034044945,0.016281673902052908,True,April 2020,0.01664882524915964,E,15.024694478679692,in transit,Transit,-0.0022394460374147,0.0013946960400281,0.0014233482690988,10832.821167383894,0.1064791459630214,0.11267928145935,0.0479807171728968,0.0032832128842044,0.0033423124655457,1.2946469088458477,0.1169521203989107,0.1294313289154056
880,2020-04-27,1.74,2020-04-28T06:44:08,HAT-P-67b_IN_1,CFB,Sci,2020-04-28T06:44:38.167149,dark,1588056248.239373607,17:06:26.56,+44:46:37.06,2000,2000,9.436,-18.185,UT20-2-011,6437,1588054174.843663249,228,1588056248.170000000,17.117973,44.736709,17.107229,44.762784,21.129922,14.247895,80.57918,55.043853,54.568828,34.956147,29,308.85,29,308.85,5567.136780588983,-23.9466344777029,2458967.780997305,1967.7809973051772,0.08226480511919343,0.01710250563666646,True,April 2020,0.01550358051444542,E,15.779308873433516,in transit,Transit,-0.0028285518392961,0.0012223246244201,0.0012753295754677,10832.880926661162,0.1090104331142356,0.1208408428337861,0.0406522433398848,0.0025435616351538,0.0025703562465424,1.4800033338727518,0.137218398986693,0.1385138713130695
880,2020-04-27,1.84,2020-04-28T06:49:54,HAT-P-67b_IN_1,CFB,Sci,2020-04-28T06:50:19.306708,dark,1588056594.395629130,17:06:26.56,+44:46:37.06,2000,2000,9.436,-18.185,UT20-2-011,6437,1588054174.843663249,228,1588056594.243000000,17.118045,44.736702,17.107301,44.762775,21.226245,14.34429,80.57918,55.043853,54.568828,34.956147,29,308.85,29,308.85,5561.145441998961,-24.01101228175685,2458967.7849456794,1967.7849456793629,0.08621317930490457,0.01792335595861098,True,April 2020,0.013276828972242163,E,16.533520626131267,in transit,Transit,0.00195918269309,0.0013074963931048,0.0013108533665523,10832.931421796162,0.1312242479762062,0.1356766034277825,0.040583381621974,0.0023430251596939,0.0023291218418957,1.7881340367431608,0.1385021281848326,0.1440002088589584
