HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2456217.76074,2012-10-17.2624365,bb,2.06,15.117,10.061,0.003,362.491,0.921,V
2456217.76260,2012-10-17.2643021,bb,2.04,15.112,10.055,0.003,364.441,0.993,V
2456221.74292,2012-10-21.2447173,ba,2.34,15.083,10.051,0.006,366.276,1.983,V
2456221.74474,2012-10-21.2465302,ba,2.32,15.084,10.049,0.005,366.831,1.860,V
2456230.71583,2012-10-30.2178063,ba,2.50,15.003,10.070,0.004,359.771,1.415,V
2456239.69398,2012-11-08.1960956,ba,2.29,15.093,10.067,0.003,360.604,1.172,V
2456239.69573,2012-11-08.1978413,ba,2.27,15.094,10.066,0.003,360.852,1.167,V
2456338.08480,2013-02-14.5851597,ba,2.11,14.942,10.089,0.004,353.498,1.355,V
2456338.08666,2013-02-14.5870155,ba,2.11,14.940,10.078,0.004,356.859,1.331,V
2456350.06082,2013-02-26.5607151,ba,2.13,14.907,10.102,0.005,349.366,1.589,V
2456350.06244,2013-02-26.5623405,ba,2.13,14.905,10.092,0.005,352.244,1.496,V
2456355.15696,2013-03-03.6566560,ba,2.05,14.960,10.057,0.003,364.064,1.213,V
2456355.15869,2013-03-03.6583858,ba,2.06,14.951,10.049,0.003,366.737,1.235,V
2456360.06447,2013-03-08.5639789,ba,2.05,14.961,10.088,0.004,353.742,1.243,V
2456360.06632,2013-03-08.5658265,ba,2.05,14.955,10.076,0.004,357.595,1.325,V
2456372.00282,2013-03-20.5018899,ba,1.83,14.963,10.095,0.004,351.639,1.307,V
2456372.00467,2013-03-20.5037354,ba,1.84,14.966,10.098,0.004,350.634,1.324,V
2456381.11117,2013-03-29.6099194,ba,1.73,14.946,10.056,0.004,364.334,1.363,V
2456381.11286,2013-03-29.6116085,ba,1.72,14.951,10.054,0.004,365.098,1.469,V
2456388.95921,2013-04-06.4577144,ba,2.21,14.489,10.048,0.015,367.186,5.019,V
2456388.96068,2013-04-06.4591870,ba,2.26,99.990,99.990,99.990,99.990,99.990,V
2456389.95628,2013-04-07.4547560,ba,2.15,14.919,10.054,0.004,365.025,1.358,V
2456389.95776,2013-04-07.4562318,ba,2.15,14.914,10.044,0.004,368.133,1.316,V
2456393.11396,2013-04-10.6123517,ba,1.81,14.972,10.054,0.004,364.755,1.290,V
2456393.11544,2013-04-10.6138291,ba,1.76,14.974,10.059,0.003,363.371,1.218,V
2456397.05481,2013-04-14.5530906,ba,2.02,14.951,10.057,0.004,363.908,1.342,V
2456397.05628,2013-04-14.5545644,ba,2.05,14.951,10.058,0.004,363.957,1.384,V
2456400.97368,2013-04-18.4718701,ba,2.29,14.927,10.086,0.005,354.262,1.467,V
2456400.97592,2013-04-18.4741136,ba,2.29,14.917,10.047,0.004,367.279,1.420,V
2456404.97640,2013-04-22.4745057,ba,2.11,14.927,10.042,0.004,369.054,1.387,V
2456404.98159,2013-04-22.4797015,ba,2.11,14.939,10.056,0.004,364.469,1.482,V
2456411.98085,2013-04-29.4788098,ba,2.11,14.881,10.081,0.005,356.262,1.537,V
2456411.98274,2013-04-29.4807075,ba,2.10,14.852,10.102,0.005,349.182,1.598,V
2456416.04459,2013-05-03.5424826,ba,2.08,14.963,10.094,0.004,351.945,1.321,V
2456416.04664,2013-05-03.5445429,ba,2.05,14.959,10.078,0.004,356.869,1.367,V
2456436.94902,2013-05-24.4467427,ba,2.45,14.861,10.055,0.006,364.665,1.786,V
2456436.95075,2013-05-24.4484710,ba,2.44,14.849,10.048,0.007,367.095,2.140,V
2456453.90846,2013-06-10.4062482,ba,2.00,14.754,10.037,0.004,370.794,1.452,V
2456458.89634,2013-06-15.3941802,ba,2.18,14.753,10.024,0.004,375.409,1.392,V
2456458.89770,2013-06-15.3955405,ba,2.17,14.772,10.068,0.004,360.387,1.400,V
2456461.89725,2013-06-18.3951260,ba,1.71,14.808,10.084,0.005,354.925,1.494,V
2456461.89861,2013-06-18.3964922,ba,1.79,14.813,10.083,0.004,355.332,1.370,V
2456464.87431,2013-06-21.3722386,ba,1.72,14.792,10.063,0.005,361.800,1.522,V
2456464.87568,2013-06-21.3736136,ba,1.81,14.775,10.063,0.005,362.111,1.556,V
2456467.94976,2013-06-24.4477358,ba,1.80,14.630,10.059,0.006,363.280,2.006,V
2456467.95114,2013-06-24.4491182,ba,2.02,14.702,10.121,0.006,343.266,1.903,V
2456470.97888,2013-06-27.4769177,ba,2.28,14.744,10.060,0.005,363.163,1.493,V
2456470.98026,2013-06-27.4782994,ba,2.29,14.743,10.067,0.005,360.764,1.556,V
2456474.88573,2013-07-01.3838520,ba,1.71,14.808,10.059,0.005,363.221,1.489,V
2456474.88711,2013-07-01.3852265,ba,1.77,14.807,10.052,0.004,365.709,1.388,V
2456477.87588,2013-07-04.3740688,ba,1.69,14.795,10.024,0.004,375.000,1.341,V
2456477.87734,2013-07-04.3755197,ba,1.81,14.807,10.052,0.004,365.460,1.261,V
2456482.86277,2013-07-09.3610759,ba,2.26,14.771,10.057,0.004,363.811,1.273,V
2456482.86418,2013-07-09.3624854,ba,2.25,14.767,10.060,0.004,362.865,1.338,V
2456485.85968,2013-07-12.3580656,ba,2.09,14.798,10.083,0.004,355.130,1.331,V
2456485.86110,2013-07-12.3594809,ba,2.08,14.776,10.047,0.004,367.547,1.252,V
2456488.85243,2013-07-15.3508878,ba,2.01,14.790,10.045,0.004,367.994,1.328,V
2456488.85379,2013-07-15.3522608,ba,2.01,14.801,10.071,0.004,359.178,1.245,V
2456491.85041,2013-07-18.3489594,ba,1.82,14.809,10.072,0.004,358.823,1.342,V
2456491.85178,2013-07-18.3503281,ba,1.70,14.796,10.070,0.004,359.748,1.376,V
2456494.84676,2013-07-21.3453995,ba,2.14,14.641,10.071,0.005,359.421,1.763,V
2456494.84814,2013-07-21.3467815,ba,2.16,14.623,10.053,0.005,365.457,1.739,V
2456509.82201,2013-08-05.3211466,ba,2.07,14.868,10.066,0.005,360.853,1.619,V
2456509.82385,2013-08-05.3229899,ba,2.10,14.839,10.022,0.005,376.068,1.558,V
2456516.77907,2013-08-12.2784579,ba,1.73,14.824,10.075,0.004,358.221,1.276,V
2456516.78042,2013-08-12.2798177,ba,1.73,14.811,10.045,0.005,367.779,1.484,V
2456519.79423,2013-08-15.2937364,ba,1.70,14.830,10.098,0.005,350.608,1.511,V
2456519.79561,2013-08-15.2951084,ba,1.71,14.816,10.074,0.004,358.350,1.266,V
2456522.79824,2013-08-18.2978598,ba,1.81,14.767,10.025,0.004,375.135,1.374,V
2456522.79961,2013-08-18.2992262,ba,1.82,14.783,10.058,0.004,363.486,1.365,V
2456523.79711,2013-08-19.2967603,ba,2.11,14.757,10.057,0.004,363.898,1.467,V
2456523.79846,2013-08-19.2981155,ba,2.12,14.759,10.062,0.004,362.287,1.389,V
2456526.79319,2013-08-22.2929577,ba,1.70,14.812,10.108,0.005,347.335,1.526,V
2456526.79456,2013-08-22.2943288,ba,1.73,14.807,10.090,0.005,352.814,1.487,V
2456532.79170,2013-08-28.2917006,ba,2.01,14.786,10.055,0.004,364.537,1.313,V
2456532.79308,2013-08-28.2930708,ba,2.05,14.792,10.076,0.004,357.576,1.301,V
2456535.81228,2013-08-31.3123913,ba,2.11,14.772,10.075,0.004,358.073,1.313,V
2456535.81365,2013-08-31.3137620,ba,2.14,14.762,10.059,0.004,363.184,1.317,V
2456539.76440,2013-09-04.2646659,ba,2.18,14.768,10.078,0.004,357.205,1.405,V
2456539.76577,2013-09-04.2660344,ba,2.25,14.766,10.095,0.004,351.440,1.397,V
2456549.74350,2013-09-14.2441439,ba,1.74,14.797,10.082,0.004,355.609,1.363,V
2456549.74489,2013-09-14.2455230,ba,1.70,14.791,10.077,0.004,357.232,1.435,V
2456559.74633,2013-09-24.2473266,ba,2.07,14.339,10.055,0.006,364.706,2.096,V
2456559.74770,2013-09-24.2486924,ba,2.10,14.429,10.049,0.006,366.448,1.909,V
2456562.73149,2013-09-27.2325869,ba,1.65,14.290,10.076,0.006,357.701,2.052,V
2456562.73286,2013-09-27.2339552,ba,1.80,14.424,10.075,0.005,358.024,1.791,V
2456563.71159,2013-09-28.2127210,ba,2.02,14.648,10.089,0.005,353.345,1.714,V
2456563.71298,2013-09-28.2141123,ba,2.01,14.537,10.078,0.005,356.757,1.609,V
2456574.69855,2013-10-09.2000174,ba,2.22,14.611,10.067,0.006,360.589,1.924,V
2456574.69991,2013-10-09.2013888,ba,2.23,14.304,10.072,0.011,359.206,3.585,V
2456676.10632,2014-01-18.60765,bc,2.07,14.580,10.059,0.004,363.375,1.421,V
2456676.10768,2014-01-18.6090070,bc,2.07,14.569,10.042,0.004,368.774,1.565,V
2456682.11354,2014-01-24.6146774,bc,2.05,14.575,10.050,0.004,366.393,1.350,V
2456701.08181,2014-02-12.5822563,bc,2.44,14.569,10.042,0.006,368.858,2.009,V
2456701.08312,2014-02-12.5835666,bc,2.44,14.568,10.049,0.006,366.735,2.083,V
2456730.10712,2014-03-13.6060368,bc,2.44,14.628,10.042,0.005,368.969,1.684,V
2456730.10856,2014-03-13.6074736,bc,2.32,14.625,10.033,0.005,372.306,1.617,V
2456731.08768,2014-03-14.5865633,bc,2.33,14.297,10.047,0.006,367.309,2.097,V
2456734.11496,2014-03-17.6137284,bc,2.35,14.590,10.054,0.004,365.038,1.533,V
2456734.11626,2014-03-17.6150339,bc,2.29,14.590,10.052,0.005,365.692,1.642,V
2456735.05993,2014-03-18.5586671,bc,1.51,14.679,10.064,0.004,361.713,1.263,V
2456735.06122,2014-03-18.5599635,bc,1.52,14.678,10.072,0.004,359.005,1.251,V
2456736.02164,2014-03-19.5203447,bc,1.81,14.656,10.064,0.004,361.552,1.344,V
2456736.02296,2014-03-19.5216579,bc,1.84,14.657,10.069,0.004,360.093,1.315,V
2456737.01360,2014-03-20.5122608,bc,1.55,14.678,10.067,0.004,360.977,1.244,V
2456737.01490,2014-03-20.5135615,bc,1.52,14.671,10.059,0.004,363.406,1.286,V
2456740.03380,2014-03-23.5323583,bc,1.45,14.541,10.070,0.006,359.696,1.763,V
2456740.03512,2014-03-23.5336777,bc,1.46,14.559,10.060,0.004,363.122,1.359,V
2456742.03402,2014-03-25.5325050,bc,1.84,14.639,10.054,0.004,364.938,1.324,V
2456742.03531,2014-03-25.5338024,bc,1.90,14.640,10.045,0.004,367.972,1.263,V
2456751.05278,2014-04-03.5509745,bc,1.60,14.683,10.051,0.004,366.019,1.304,V
2456751.05410,2014-04-03.5522906,bc,1.62,14.686,10.058,0.004,363.612,1.218,V
2456756.91844,2014-04-09.4164638,bc,2.19,14.568,10.042,0.004,369.229,1.550,V
2456756.91976,2014-04-09.4177863,bc,2.13,14.573,10.057,0.004,364.231,1.574,V
2456760.00282,2014-04-12.5007555,bc,1.49,14.683,10.062,0.004,362.215,1.254,V
2456760.00416,2014-04-12.5021010,bc,1.48,14.685,10.062,0.004,362.231,1.250,V
2456766.99561,2014-04-19.4933759,bc,2.26,14.611,10.049,0.004,366.772,1.339,V
2456783.95977,2014-05-06.4572314,bc,1.86,14.672,10.052,0.004,365.384,1.267,V
2456783.96111,2014-05-06.4585609,bc,1.85,14.662,10.040,0.004,369.896,1.268,V
2456788.94402,2014-05-11.4414107,bc,1.84,14.667,10.062,0.004,362.206,1.248,V
2456788.94534,2014-05-11.4427434,bc,1.81,14.658,10.050,0.004,366.479,1.320,V
2456797.06464,2014-05-19.5619743,bc,1.71,14.669,10.052,0.004,365.579,1.218,V
2456798.03043,2014-05-20.5277633,bc,1.65,14.690,10.057,0.004,364.038,1.239,V
2456798.03181,2014-05-20.5291430,bc,1.69,14.682,10.045,0.004,368.068,1.241,V
2456801.05380,2014-05-23.5511244,bc,1.76,14.682,10.056,0.004,364.439,1.229,V
2456801.05518,2014-05-23.5525024,bc,1.74,14.686,10.060,0.004,362.907,1.254,V
2456804.03753,2014-05-26.5348428,bc,1.85,14.482,10.096,0.009,350.863,2.882,V
2456804.03896,2014-05-26.5362717,bc,1.89,14.460,10.042,0.006,368.901,1.988,V
2456807.97047,2014-05-30.4677835,bc,2.33,14.630,10.057,0.004,364.008,1.375,V
2456807.97216,2014-05-30.4694795,bc,2.32,14.624,10.056,0.004,364.414,1.499,V
2456812.03040,2014-06-03.5277339,bc,1.57,14.684,10.056,0.004,364.132,1.235,V
2456812.03177,2014-06-03.5291093,bc,1.58,14.681,10.052,0.004,365.930,1.282,V
2456813.92117,2014-06-05.4185075,bc,1.52,14.421,10.054,0.004,364.823,1.465,V
2456814.89861,2014-06-06.3959615,bc,1.51,14.635,10.049,0.004,366.617,1.303,V
2456814.89995,2014-06-06.3973052,bc,1.56,14.646,10.048,0.004,367.300,1.304,V
2456816.96740,2014-06-08.4647662,bc,1.55,14.695,10.053,0.004,365.315,1.221,V
2456816.96883,2014-06-08.4662016,bc,1.48,14.694,10.053,0.003,365.384,1.166,V
2456818.90536,2014-06-10.4027420,bc,1.36,14.700,10.056,0.004,364.533,1.191,V
2456818.90677,2014-06-10.40415,bc,1.37,14.699,10.059,0.004,363.161,1.227,V
2456819.90113,2014-06-11.3985214,bc,1.43,14.697,10.061,0.004,362.859,1.210,V
2456819.90253,2014-06-11.3999246,bc,1.43,14.711,10.088,0.004,353.848,1.212,V
2456820.90388,2014-06-12.4012796,bc,1.48,14.663,10.060,0.004,362.973,1.298,V
2456820.90527,2014-06-12.4026775,bc,1.48,14.670,10.064,0.004,361.491,1.314,V
2456822.90540,2014-06-14.4028232,bc,1.76,14.660,10.069,0.004,360.278,1.314,V
2456822.90685,2014-06-14.4042737,bc,1.69,14.662,10.059,0.004,363.509,1.314,V
2456823.91465,2014-06-15.4120906,bc,1.87,14.640,10.054,0.004,364.901,1.315,V
2456825.00964,2014-06-16.5070917,bc,1.49,14.688,10.065,0.004,361.220,1.315,V
2456825.01112,2014-06-16.5085667,bc,1.48,14.683,10.057,0.004,364.000,1.230,V
2456826.01564,2014-06-17.5130961,bc,1.59,14.256,10.056,0.006,364.288,1.957,V
2456826.01707,2014-06-17.5145362,bc,1.67,14.276,10.049,0.005,366.781,1.811,V
2456827.00512,2014-06-18.5026017,bc,1.99,14.657,10.070,0.004,359.573,1.345,V
2456827.00657,2014-06-18.5040436,bc,2.03,14.642,10.051,0.004,366.128,1.440,V
2456829.90164,2014-06-21.3991633,bc,1.71,14.686,10.058,0.003,363.827,1.181,V
2456829.90306,2014-06-21.4005805,bc,1.78,14.682,10.057,0.004,364.019,1.254,V
2456832.82301,2014-06-24.3205776,bc,1.46,14.691,10.061,0.004,362.700,1.214,V
2456832.82441,2014-06-24.3219737,bc,1.45,14.687,10.055,0.004,364.809,1.208,V
2456835.87761,2014-06-27.3752306,bc,1.45,14.705,10.061,0.004,362.384,1.194,V
2456835.87904,2014-06-27.3766678,bc,1.39,14.703,10.056,0.003,364.383,1.166,V
2456846.86170,2014-07-08.3595634,bc,1.35,14.692,10.062,0.003,362.311,1.183,V
2456846.86313,2014-07-08.3609950,bc,1.34,14.722,10.120,0.004,343.423,1.196,V
2456848.86559,2014-07-10.3635053,bc,1.38,14.704,10.068,0.004,360.451,1.197,V
2456848.86705,2014-07-10.3649685,bc,1.39,14.700,10.055,0.004,364.468,1.186,V
2456850.86427,2014-07-12.3622396,bc,1.51,14.668,10.060,0.004,362.934,1.320,V
2456850.86579,2014-07-12.3637670,bc,1.44,14.683,10.056,0.004,364.346,1.252,V
2456851.86645,2014-07-13.3644503,bc,1.50,14.642,10.057,0.004,364.047,1.292,V
2456851.86800,2014-07-13.366,bc,1.52,14.648,10.061,0.004,362.825,1.223,V
2456852.92836,2014-07-14.4263842,bc,1.73,14.621,10.051,0.004,366.240,1.353,V
2456852.92988,2014-07-14.4279006,bc,1.88,14.622,10.049,0.004,366.814,1.406,V
2456856.91251,2014-07-18.4106546,bc,1.54,14.684,10.052,0.004,365.790,1.225,V
2456856.91396,2014-07-18.4121039,bc,1.56,14.684,10.055,0.004,364.639,1.251,V
2456867.84264,2014-07-29.3411248,bc,1.55,14.691,10.053,0.003,365.517,1.159,V
2456867.84432,2014-07-29.3428105,bc,1.59,14.694,10.060,0.003,362.949,1.177,V
2456869.82027,2014-07-31.3188200,bc,1.38,14.257,10.065,0.006,361.374,1.710,V
2456869.82166,2014-07-31.3202115,bc,1.44,14.249,10.050,0.005,366.403,1.697,V
2456873.81798,2014-08-04.3166709,bc,1.51,14.642,10.055,0.004,364.824,1.270,V
2456873.81943,2014-08-04.3181212,bc,1.50,14.662,10.055,0.004,364.708,1.262,V
2456874.82929,2014-08-05.3280186,bc,1.67,14.692,10.060,0.004,362.951,1.202,V
2456875.82894,2014-08-06.3277005,bc,1.56,14.697,10.065,0.004,361.583,1.260,V
2456875.83053,2014-08-06.3292883,bc,1.67,14.680,10.051,0.004,365.972,1.269,V
2456876.81722,2014-08-07.3160156,bc,1.54,14.689,10.059,0.004,363.374,1.221,V
2456876.81867,2014-08-07.3174630,bc,1.57,14.691,10.057,0.004,363.927,1.211,V
2456881.82127,2014-08-12.3202472,bc,1.37,14.718,10.107,0.004,347.409,1.291,V
2456881.82265,2014-08-12.3216283,bc,1.39,14.700,10.072,0.004,359.284,1.191,V
2456883.79679,2014-08-14.2958394,bc,1.38,14.704,10.061,0.003,362.571,1.170,V
2456883.79819,2014-08-14.2972381,bc,1.40,14.718,10.090,0.004,353.108,1.222,V
2456885.79584,2014-08-16.2949638,bc,1.56,14.689,10.056,0.004,364.581,1.194,V
2456885.79731,2014-08-16.2964425,bc,1.49,14.691,10.054,0.004,365.092,1.266,V
2456887.79971,2014-08-18.2989112,bc,1.51,14.693,10.057,0.004,364.133,1.225,V
2456887.80122,2014-08-18.3004303,bc,1.49,14.688,10.054,0.004,365.000,1.230,V
2456894.78218,2014-08-25.2816475,bc,1.45,14.705,10.073,0.004,358.414,1.173,V
2456894.78356,2014-08-25.2830293,bc,1.42,14.698,10.059,0.004,363.443,1.224,V
2456897.76981,2014-08-28.2693930,bc,1.39,14.702,10.058,0.004,363.503,1.180,V
2456897.77121,2014-08-28.2707945,bc,1.34,14.729,10.112,0.004,345.909,1.178,V
2456899.78249,2014-08-30.2821456,bc,1.42,14.712,10.080,0.004,356.298,1.180,V
2456899.78394,2014-08-30.2835981,bc,1.39,14.710,10.078,0.004,357.341,1.184,V
2456900.77188,2014-08-31.2715743,bc,1.39,14.701,10.062,0.004,362.437,1.231,V
2456900.77328,2014-08-31.2729803,bc,1.41,14.700,10.060,0.003,363.022,1.162,V
2456902.76552,2014-09-02.2652936,bc,1.35,14.703,10.059,0.004,363.307,1.210,V
2456902.76691,2014-09-02.2666855,bc,1.36,14.719,10.089,0.003,353.614,1.142,V
2456904.76746,2014-09-04.2673131,bc,1.42,14.699,10.061,0.004,362.889,1.237,V
2456904.76886,2014-09-04.2687107,bc,1.41,14.695,10.063,0.004,362.013,1.263,V
2456907.74552,2014-09-07.2454849,bc,1.57,14.683,10.065,0.004,361.297,1.231,V
2456907.74719,2014-09-07.2471546,bc,1.54,14.689,10.069,0.004,360.302,1.243,V
2456909.74001,2014-09-09.2400468,bc,1.40,14.692,10.065,0.004,361.305,1.317,V
2456909.74141,2014-09-09.2414502,bc,1.37,14.680,10.059,0.004,363.300,1.315,V
2456912.74811,2014-09-12.2482592,bc,1.43,14.702,10.070,0.004,359.551,1.260,V
2456912.74962,2014-09-12.2497725,bc,1.40,14.697,10.060,0.003,363.058,1.143,V
2456913.74020,2014-09-13.2403894,bc,1.64,14.690,10.057,0.004,364.005,1.205,V
2456913.74177,2014-09-13.2419548,bc,1.58,14.701,10.073,0.004,358.925,1.282,V
2456914.73427,2014-09-14.2344957,bc,1.43,14.703,10.059,0.004,363.284,1.253,V
2456914.73575,2014-09-14.2359781,bc,1.49,14.701,10.062,0.004,362.039,1.182,V
2456915.73141,2014-09-15.2316668,bc,1.49,14.697,10.061,0.003,362.736,1.165,V
2456915.73305,2014-09-15.2333087,bc,1.44,14.702,10.061,0.004,362.896,1.197,V
2456917.72922,2014-09-17.2295538,bc,1.42,14.704,10.061,0.004,362.804,1.183,V
2456917.73062,2014-09-17.2309552,bc,1.38,14.707,10.065,0.004,361.351,1.236,V
2456919.72880,2014-09-19.2292062,bc,1.32,14.740,10.128,0.004,341.025,1.208,V
2456919.73037,2014-09-19.2307759,bc,1.32,14.718,10.090,0.004,352.826,1.165,V
2456920.73272,2014-09-20.2331625,bc,1.37,14.718,10.094,0.004,351.832,1.198,V
2456920.73410,2014-09-20.2345462,bc,1.34,14.710,10.074,0.004,358.275,1.220,V
2456923.71080,2014-09-23.2113453,bc,1.60,14.642,10.063,0.004,362.132,1.242,V
2456924.70647,2014-09-24.2070541,bc,1.60,14.583,10.079,0.005,356.672,1.583,V
2456924.70787,2014-09-24.2084497,bc,1.55,14.615,10.064,0.004,361.766,1.356,V
2456927.71028,2014-09-27.2109681,bc,1.80,13.480,10.120,0.021,343.582,6.562,V
2456927.71174,2014-09-27.2124228,bc,1.41,14.168,10.075,0.007,357.944,2.227,V
2457021.17181,2014-12-29.6732755,bc,1.58,14.563,10.069,0.004,360.027,1.521,V
2457021.17331,2014-12-29.6747793,bc,1.60,14.512,10.067,0.006,360.808,1.811,V
2457024.15600,2015-01-01.6574030,bc,1.94,14.562,10.053,0.004,365.407,1.374,V
2457024.15755,2015-01-01.6589445,bc,1.95,14.568,10.060,0.004,362.977,1.350,V
2457032.15569,2015-01-09.6568814,bc,1.62,14.610,10.072,0.004,359.228,1.388,V
2457032.15708,2015-01-09.6582752,bc,1.61,14.612,10.064,0.004,361.801,1.383,V
2457038.15206,2015-01-15.6530857,bc,1.38,14.643,10.063,0.003,362.220,1.223,V
2457038.15347,2015-01-15.6544887,bc,1.39,14.640,10.055,0.004,364.769,1.289,V
2457040.14710,2015-01-17.6480574,bc,1.50,14.625,10.059,0.004,363.442,1.340,V
2457040.14849,2015-01-17.6494479,bc,1.52,14.618,10.048,0.003,366.977,1.246,V
2457042.14516,2015-01-19.6460642,bc,1.40,14.633,10.055,0.004,364.731,1.359,V
2457042.14658,2015-01-19.6474820,bc,1.37,14.627,10.042,0.004,368.887,1.264,V
2457044.14176,2015-01-21.6425909,bc,1.37,14.645,10.067,0.003,360.729,1.218,V
2457044.14316,2015-01-21.6439918,bc,1.34,14.646,10.063,0.004,362.032,1.266,V
2457046.13402,2015-01-23.6347863,bc,1.41,14.640,10.053,0.003,365.355,1.213,V
2457046.13541,2015-01-23.6361787,bc,1.40,14.640,10.053,0.003,365.312,1.206,V
2457048.12885,2015-01-25.6295547,bc,1.53,14.634,10.059,0.004,363.462,1.276,V
2457048.13029,2015-01-25.6309966,bc,1.53,14.633,10.059,0.004,363.391,1.322,V
2457050.12901,2015-01-27.6296459,bc,1.37,14.643,10.062,0.004,362.311,1.323,V
2457050.13047,2015-01-27.6311059,bc,1.40,14.640,10.057,0.004,364.066,1.307,V
2457052.13449,2015-01-29.6350508,bc,1.57,14.636,10.059,0.004,363.326,1.287,V
2457054.11156,2015-01-31.6120519,bc,1.78,14.610,10.056,0.004,364.380,1.295,V
2457054.11304,2015-01-31.6135273,bc,1.73,14.607,10.049,0.004,367.024,1.335,V
2457055.11793,2015-02-01.6183873,bc,1.61,14.629,10.070,0.004,359.683,1.326,V
2457055.11933,2015-02-01.6197908,bc,1.66,14.624,10.054,0.004,364.917,1.311,V
2457061.09770,2015-02-07.5979429,bc,1.58,14.624,10.060,0.004,363.017,1.319,V
2457061.09912,2015-02-07.5993557,bc,1.55,14.626,10.063,0.004,362.086,1.345,V
2457065.11143,2015-02-11.6115133,bc,1.70,14.629,10.064,0.004,361.582,1.291,V
2457065.11282,2015-02-11.6129130,bc,1.55,14.636,10.059,0.004,363.105,1.320,V
2457070.08007,2015-02-16.5799630,bc,1.66,14.615,10.055,0.004,364.598,1.305,V
2457070.08150,2015-02-16.5813905,bc,1.88,14.590,10.035,0.004,371.439,1.343,V
2457072.08290,2015-02-18.5827096,bc,1.38,14.652,10.060,0.004,362.764,1.265,V
2457072.08430,2015-02-18.5841133,bc,1.36,14.652,10.060,0.004,363.069,1.220,V
2457077.07000,2015-02-23.5696251,bc,1.44,14.639,10.061,0.004,362.578,1.300,V
2457077.07142,2015-02-23.5710275,bc,1.45,14.636,10.057,0.004,364.122,1.265,V
2457081.07538,2015-02-27.5748456,bc,1.37,14.652,10.056,0.004,364.416,1.259,V
2457083.08666,2015-03-01.5860425,bc,1.48,14.648,10.061,0.004,362.787,1.267,V
2457083.08807,2015-03-01.5874570,bc,1.48,14.648,10.058,0.003,363.599,1.215,V
2457092.01321,2015-03-10.5122506,bc,1.54,14.618,10.068,0.004,360.350,1.377,V
2457092.01480,2015-03-10.5138421,bc,1.56,14.601,10.065,0.004,361.393,1.350,V
2457097.11355,2015-03-15.6124025,bc,1.38,14.669,10.060,0.004,362.926,1.264,V
2457097.11515,2015-03-15.6140048,bc,1.36,14.669,10.055,0.004,364.427,1.250,V
2457100.11707,2015-03-18.6162159,bc,1.41,14.664,10.053,0.004,365.233,1.234,V
2457100.11873,2015-03-18.6178775,bc,1.44,14.663,10.052,0.004,365.554,1.227,V
2457103.00912,2015-03-21.5081763,bc,1.45,14.634,10.057,0.004,363.902,1.238,V
2457103.01068,2015-03-21.5097342,bc,1.44,14.638,10.056,0.004,364.334,1.301,V
2457107.02579,2015-03-25.5247043,bc,1.43,14.623,10.050,0.004,366.151,1.271,V
2457107.02736,2015-03-25.5262702,bc,1.40,14.627,10.058,0.004,363.752,1.296,V
2457110.97980,2015-03-29.4785832,bc,1.45,14.619,10.064,0.004,361.744,1.282,V
2457110.98139,2015-03-29.4801690,bc,1.56,14.622,10.065,0.004,361.218,1.300,V
2457113.98907,2015-04-01.4877528,bc,1.43,14.621,10.064,0.004,361.917,1.373,V
2457113.99062,2015-04-01.4893100,bc,1.42,14.620,10.062,0.004,362.393,1.403,V
2457114.94770,2015-04-02.4463476,bc,1.49,14.571,10.060,0.004,363.007,1.458,V
2457114.94928,2015-04-02.4479174,bc,1.44,14.571,10.060,0.004,363.055,1.361,V
2457121.12542,2015-04-08.6238877,bc,1.43,14.371,10.076,0.005,357.647,1.805,V
2457121.12700,2015-04-08.6254680,bc,1.38,14.635,10.061,0.004,362.922,1.289,V
2457122.06613,2015-04-09.5645739,bc,1.40,14.657,10.062,0.004,362.476,1.312,V
2457122.06762,2015-04-09.5660662,bc,1.44,14.654,10.059,0.004,363.448,1.254,V
2457122.12616,2015-04-09.6246026,bc,1.40,14.676,10.094,0.004,351.887,1.243,V
2457122.12779,2015-04-09.6262366,bc,1.38,14.674,10.086,0.004,354.580,1.218,V
2457125.02415,2015-04-12.5225103,bc,1.39,14.657,10.056,0.004,364.531,1.238,V
2457125.02577,2015-04-12.5241350,bc,1.38,14.660,10.062,0.004,362.390,1.229,V
2457125.97929,2015-04-13.4776234,bc,1.37,14.651,10.061,0.004,362.689,1.279,V
2457125.98087,2015-04-13.4792109,bc,1.37,14.649,10.057,0.004,363.981,1.261,V
2457128.97702,2015-04-16.4752839,bc,1.40,13.329,10.051,0.020,366.043,6.833,V
2457128.97858,2015-04-16.4768353,bc,1.38,13.905,10.083,0.011,355.483,3.534,V
2457130.92981,2015-04-18.4280200,bc,1.40,14.620,10.050,0.004,366.438,1.255,V
2457130.93138,2015-04-18.4295968,bc,1.38,14.624,10.052,0.004,365.765,1.267,V
2457133.95985,2015-04-21.4579935,bc,1.76,14.611,10.048,0.004,366.789,1.272,V
2457133.96150,2015-04-21.4596392,bc,1.54,14.633,10.064,0.004,361.544,1.260,V
2457136.93774,2015-04-24.4358209,bc,1.49,14.637,10.049,0.004,366.634,1.271,V
2457136.93931,2015-04-24.4373849,bc,1.46,14.642,10.059,0.004,363.045,1.259,V
