HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459294.07417,2021-03-20.5732373,bC,1.47,15.010,10.298,0.010,275.837,2.622,g
2459294.07541,2021-03-20.5744849,bC,1.50,14.990,10.254,0.010,287.185,2.665,g
2459296.97654,2021-03-23.4754946,bC,1.50,14.973,10.281,0.009,280.108,2.226,g
2459299.93110,2021-03-26.4299547,bC,1.63,14.057,10.284,0.019,279.458,4.830,g
2459299.93234,2021-03-26.4311986,bC,1.75,14.003,10.279,0.023,280.806,5.945,g
2459299.93359,2021-03-26.4324446,bC,1.55,13.857,10.325,0.022,269.232,5.608,g
2459303.93354,2021-03-30.4322630,bC,1.54,14.925,10.286,0.010,278.949,2.497,g
2459303.93480,2021-03-30.4335223,bC,1.54,14.941,10.321,0.004,270.051,0.982,g
2459303.93604,2021-03-30.4347581,bC,1.52,14.987,10.373,0.004,257.409,0.908,g
2459304.96206,2021-03-31.4607490,bs,1.70,14.905,10.239,0.009,291.364,2.493,g
2459304.96331,2021-03-31.4619958,bs,1.66,14.915,10.251,0.008,288.083,2.198,g
2459304.96452,2021-03-31.4632131,bs,1.62,14.927,10.265,0.008,284.532,2.073,g
2459305.98876,2021-04-01.4874151,bs,1.46,14.962,10.257,0.009,286.605,2.271,g
2459305.98999,2021-04-01.4886501,bs,1.46,14.954,10.247,0.009,289.164,2.463,g
2459305.99122,2021-04-01.4898789,bs,1.44,14.944,10.243,0.009,290.450,2.456,g
2459306.98569,2021-04-02.4843226,bs,1.97,14.838,10.306,0.005,274.024,1.204,g
2459306.98691,2021-04-02.4855328,bs,1.82,14.784,10.268,0.011,283.786,2.834,g
2459306.98812,2021-04-02.4867523,bs,1.98,14.752,10.281,0.010,280.281,2.661,g
2459308.78382,2021-04-04.2823886,bs,1.45,14.855,10.286,0.004,279.045,1.029,g
2459308.78505,2021-04-04.2836186,bs,1.46,14.801,10.225,0.009,295.175,2.515,g
2459308.78628,2021-04-04.2848521,bs,1.47,14.865,10.301,0.004,275.033,1.087,g
2459311.89485,2021-04-07.3933304,bC,1.48,14.588,10.270,0.011,283.252,2.837,g
2459311.89610,2021-04-07.3945797,bC,1.44,14.590,10.264,0.009,284.683,2.439,g
2459311.89734,2021-04-07.3958193,bC,1.42,14.692,10.272,0.010,282.525,2.498,g
2459313.89939,2021-04-09.3978116,bC,1.46,14.920,10.270,0.010,283.152,2.574,g
2459313.90063,2021-04-09.3990487,bC,1.48,14.927,10.273,0.009,282.228,2.424,g
2459313.90188,2021-04-09.4003001,bC,1.47,14.919,10.261,0.010,285.687,2.577,g
2459314.86462,2021-04-10.3630106,bs,1.47,14.958,10.283,0.004,279.664,1.059,g
2459314.88063,2021-04-10.3790314,bs,1.44,14.908,10.236,0.009,292.346,2.367,g
2459318.11632,2021-04-13.6146245,bC,1.44,15.012,10.289,0.010,278.212,2.501,g
2459318.11757,2021-04-13.6158747,bC,1.47,14.988,10.248,0.010,289.027,2.638,g
2459318.11881,2021-04-13.6171166,bC,1.51,15.001,10.261,0.009,285.513,2.367,g
2459320.01292,2021-04-15.5111879,bC,1.41,15.040,10.331,0.010,267.687,2.499,g
2459320.01417,2021-04-15.5124355,bC,1.39,15.008,10.255,0.010,287.043,2.636,g
2459320.01542,2021-04-15.5136797,bC,1.45,15.036,10.307,0.010,273.870,2.456,g
2459321.97510,2021-04-17.4733155,bC,1.40,15.006,10.257,0.010,286.685,2.589,g
2459321.97635,2021-04-17.4745666,bC,1.44,15.018,10.276,0.010,281.391,2.524,g
2459321.97762,2021-04-17.4758319,bC,1.45,15.034,10.305,0.010,274.254,2.391,g
2459321.99030,2021-04-17.4885112,bC,1.40,15.002,10.243,0.010,290.178,2.708,g
2459321.99154,2021-04-17.4897524,bC,1.44,15.040,10.315,0.010,271.814,2.505,g
2459321.99277,2021-04-17.4909850,bC,1.40,15.049,10.332,0.010,267.486,2.332,g
2459327.85471,2021-04-23.3527846,bC,1.44,14.928,10.279,0.009,280.816,2.382,g
2459327.85596,2021-04-23.3540368,bC,1.44,14.953,10.325,0.009,269.261,2.337,g
2459327.85720,2021-04-23.3552885,bC,1.44,14.927,10.270,0.010,283.169,2.531,g
2459328.86513,2021-04-24.3631892,bs,1.47,14.929,10.244,0.009,289.919,2.524,g
2459328.86635,2021-04-24.3644039,bs,1.50,14.923,10.251,0.009,288.304,2.405,g
2459328.86756,2021-04-24.3656225,bs,1.50,14.933,10.264,0.009,284.839,2.346,g
2459332.00178,2021-04-27.4997766,bC,1.50,14.997,10.390,0.005,253.538,1.071,g
2459332.00301,2021-04-27.5010043,bC,1.65,14.998,10.440,0.004,242.066,1.032,g
2459332.01780,2021-04-27.5158010,bC,1.68,14.776,10.280,0.009,280.563,2.401,g
2459332.01904,2021-04-27.5170394,bC,2.24,14.825,10.279,0.011,280.831,2.810,g
2459332.87012,2021-04-28.3681059,bC,1.46,14.995,10.366,0.010,259.175,2.310,g
2459332.87137,2021-04-28.3693561,bC,1.46,15.068,10.424,0.004,245.546,0.887,g
2459332.87262,2021-04-28.3705971,bC,1.47,14.991,10.316,0.010,271.396,2.506,g
