date,ew,ew_unc,gaussian_width,gaussian_width_unc,int_wv,jd,obs_line_center,obs_line_center_unc,qidx,star_name,time
6/15/2020,1.859117576,0.072261938,3.927508249,0.086971976,10830,2459015.658,10833.86143,0.068534499,6938,HAT-P-67b_IN_3,3:47:26
6/15/2020,0.26117548,0.006857246,0.686369387,0.018617041,10830,2459015.662,10830.20113,0.019592997,6938,HAT-P-67b_IN_3,3:53:07
6/15/2020,0.250719071,0.00701404,0.704682341,0.020929303,10830,2459015.666,10830.27068,0.022514197,6938,HAT-P-67b_IN_3,3:58:48
4/27/2020,0.216494731,0.006432172,0.62938999,0.019620755,10830,2458966.77,10829.87565,0.020800409,6436,HAT-P-67b_OUT_1_before1,6:29:11
4/27/2020,0.223509224,0.006310934,0.645475809,0.018350408,10830,2458966.774,10829.87426,0.019969409,6436,HAT-P-67b_OUT_1_before1,6:35:03
4/27/2020,0.212295022,0.005919415,0.643392267,0.018668349,10830,2458966.778,10829.87288,0.020172307,6436,HAT-P-67b_OUT_1_before1,6:40:55
4/27/2020,0.21590937,0.005451836,0.663747999,0.017243724,10830,2458966.782,10829.91263,0.018869756,6436,HAT-P-67b_OUT_1_before1,6:46:47
4/29/2020,0.305992351,0.006690191,0.749199546,0.017585807,10830,2458968.774,10829.89272,0.017579566,6438,HAT-P-67b_OUT_1_after1,6:34:20
4/29/2020,0.295952138,0.006061593,0.731493192,0.016269482,10830,2458968.778,10829.88919,0.015848471,6438,HAT-P-67b_OUT_1_after1,6:40:01
4/29/2020,0.308714021,0.006193809,0.708297502,0.01505075,10830,2458968.782,10829.86961,0.01527425,6438,HAT-P-67b_OUT_1_after1,6:45:42
4/29/2020,0.321681137,0.006419462,0.771856469,0.01714754,10830,2458968.786,10829.92887,0.016191578,6438,HAT-P-67b_OUT_1_after1,6:51:23
5/20/2020,0.238405791,0.004743342,0.652720369,0.013114788,10830,2458989.947,10830.04361,0.014751834,6599,HAT-P-67b_OUT_2_before2,10:43:31
5/20/2020,0.235092437,0.004639343,0.642155844,0.013033726,10830,2458989.951,10830.02222,0.014333672,6599,HAT-P-67b_OUT_2_before2,10:49:12
5/20/2020,0.226649592,0.004686276,0.642943936,0.01343874,10830,2458989.955,10830.02474,0.014839194,6599,HAT-P-67b_OUT_2_before2,10:54:53
5/20/2020,0.23352512,0.004585397,0.636606755,0.012647116,10830,2458989.959,10830.01175,0.013880136,6599,HAT-P-67b_OUT_2_before2,11:00:34
5/21/2020,0.240631767,0.005311389,0.638520252,0.01665251,10830,2458990.933,10830.09171,0.01493387,6588,HAT-P-67b_OUT_2_before1,10:23:05
5/21/2020,0.250729657,0.005113843,0.651159391,0.014984067,10830,2458990.937,10830.05259,0.014229782,6588,HAT-P-67b_OUT_2_before1,10:28:46
5/21/2020,0.263621265,0.005235846,0.692675031,0.015433795,10830,2458990.941,10830.06107,0.014679904,6588,HAT-P-67b_OUT_2_before1,10:34:28
5/21/2020,0.250276841,0.004944937,0.673921786,0.015516211,10830,2458990.945,10830.07013,0.014189156,6588,HAT-P-67b_OUT_2_before1,10:40:09
5/23/2020,0.305259336,0.006260455,0.721357988,0.015214311,10830,2458992.928,10830.07218,0.016277087,6589,HAT-P-67b_OUT_2_after1,10:16:00
5/23/2020,0.300233704,0.00594039,0.719248571,0.01459189,10830,2458992.932,10830.10431,0.015997048,6589,HAT-P-67b_OUT_2_after1,10:21:41
5/23/2020,0.292622807,0.005959173,0.716835159,0.014739122,10830,2458992.936,10830.091,0.01606344,6589,HAT-P-67b_OUT_2_after1,10:27:22
5/23/2020,0.300827085,0.005751633,0.725808766,0.01360464,10830,2458992.94,10830.09235,0.015251363,6589,HAT-P-67b_OUT_2_after1,10:33:04
5/24/2020,0.259611203,0.004545783,0.676750137,0.011928262,10830,2458993.932,10830.04381,0.0128231,6600,HAT-P-67b_OUT_2_after2,10:22:14
5/24/2020,0.274963103,0.004682216,0.710453295,0.012470469,10830,2458993.936,10830.07715,0.013471466,6600,HAT-P-67b_OUT_2_after2,10:27:55
5/24/2020,0.268363416,0.004537765,0.675583903,0.011735733,10830,2458993.94,10830.03975,0.012812787,6600,HAT-P-67b_OUT_2_after2,10:33:36
5/24/2020,0.263104909,0.004512924,0.665035319,0.011856577,10830,2458993.944,10830.05229,0.012773775,6600,HAT-P-67b_OUT_2_after2,10:39:17
6/13/2020,0.257521011,0.004765615,0.651863629,0.012489823,10830,2459013.885,10830.19575,0.013335808,6941,HAT-P-67b_OUT_3_before2,9:13:57
6/13/2020,0.26279646,0.004759245,0.680598704,0.012188604,10830,2459013.889,10830.17486,0.013913523,6941,HAT-P-67b_OUT_3_before2,9:19:38
6/13/2020,0.260615044,0.005262244,0.678479052,0.013892826,10830,2459013.893,10830.18613,0.01532324,6941,HAT-P-67b_OUT_3_before2,9:25:19
6/14/2020,0.248717277,0.005708111,0.699880777,0.018347316,10830,2459014.881,10830.31127,0.017275766,6939,HAT-P-67b_OUT_3_before1,9:08:28
6/14/2020,0.259080185,0.005898885,0.719951498,0.019810277,10830,2459014.885,10830.31209,0.017699135,6939,HAT-P-67b_OUT_3_before1,9:14:09
6/14/2020,0.250090268,0.006281839,0.725602453,0.021797006,10830,2459014.889,10830.28384,0.019336071,6939,HAT-P-67b_OUT_3_before1,9:19:50
6/14/2020,0.267593916,0.007277047,0.729676529,0.022564526,10830,2459014.893,10830.28089,0.022012514,6939,HAT-P-67b_OUT_3_before1,9:25:32
6/15/2020,1.748731584,0.072141558,3.754956489,0.091458297,10830,2459015.875,10833.73579,0.073129056,6943,HAT-P-67b_OUT_same3,8:59:57
6/15/2020,0.27370371,0.009134158,0.737110555,0.025957745,10830,2459015.879,10830.2842,0.02673192,6943,HAT-P-67b_OUT_same3,9:05:39
6/15/2020,0.28148008,0.011387557,0.77330153,0.035050834,10830,2459015.883,10830.29975,0.033627333,6943,HAT-P-67b_OUT_same3,9:11:20
6/15/2020,0.253924348,0.010266775,0.746211013,0.034092934,10830,2459015.887,10830.23737,0.033053063,6943,HAT-P-67b_OUT_same3,9:17:01
6/15/2020,0.261852634,0.010465177,0.722683141,0.031728598,10830,2459015.891,10830.27741,0.031713354,6943,HAT-P-67b_OUT_same3,9:22:42
6/15/2020,2.052060681,0.098627693,3.987557614,0.1077286,10830,2459015.895,10834.06649,0.082539671,6943,HAT-P-67b_OUT_same3,9:28:23
6/15/2020,1.596674035,0.694535523,3.145073117,1.214512499,10830,2459015.899,10833.23572,1.505590704,6943,HAT-P-67b_OUT_same3,9:34:04
6/15/2020,1.884355616,0.071524465,3.773389306,0.084612558,10830,2459015.903,10834.01573,0.06434405,6943,HAT-P-67b_OUT_same3,9:39:45
6/15/2020,0.256225546,0.008789113,0.738362549,0.029468503,10830,2459015.907,10830.30204,0.028323994,6943,HAT-P-67b_OUT_same3,9:45:26
6/16/2020,0.209601755,0.005509045,0.618809347,0.014817867,10830,2459016.869,10830.20119,0.018585072,6940,HAT-P-67b_OUT_3_after1,8:51:26
6/16/2020,0.204634352,0.004404051,0.590030539,0.01226339,10830,2459016.873,10830.15931,0.014796422,6940,HAT-P-67b_OUT_3_after1,8:57:07
6/16/2020,0.207840081,0.004314772,0.587955243,0.011732123,10830,2459016.877,10830.1555,0.014466455,6940,HAT-P-67b_OUT_3_after1,9:02:49
6/16/2020,0.196786812,0.004312271,0.563670135,0.012057481,10830,2459016.881,10830.16401,0.014354068,6940,HAT-P-67b_OUT_3_after1,9:08:30
6/18/2020,0.194314451,0.004799886,0.549988708,0.013086774,10830,2459018.874,10830.1922,0.015995054,6942,HAT-P-67b_OUT_3_after2,8:58:34
6/18/2020,0.190374167,0.005040984,0.553307067,0.013825715,10830,2459018.878,10830.23262,0.016961315,6942,HAT-P-67b_OUT_3_after2,9:04:15
6/18/2020,0.18581332,0.004946215,0.550431184,0.013843466,10830,2459018.882,10830.22082,0.017168526,6942,HAT-P-67b_OUT_3_after2,9:09:56
6/18/2020,0.173350508,0.005247673,0.53949052,0.015458129,10830,2459018.886,10830.14605,0.018658713,6942,HAT-P-67b_OUT_3_after2,9:15:37
7/22/2020,0.130408676,0.003285315,0.49070206,0.011240846,10830,2459052.789,10830.36936,0.014791611,7147,Hat-P-67,6:56:19
7/22/2020,0.129489702,0.003756014,0.486422183,0.012183433,10830,2459052.795,10830.41559,0.016654425,7147,Hat-P-67,7:05:23
8/1/2020,0.1688833,0.003099537,0.542092189,0.009054377,10830,2459062.745,10830.43086,0.011652255,7227,Hat-P-67,5:53:23
8/1/2020,0.169536141,0.002986975,0.543545649,0.008572085,10830,2459062.752,10830.43754,0.01141164,7227,Hat-P-67,6:02:27
1/31/2021,0.456384996,0.010975551,0.960731123,0.022090763,10830,2459246.026,10829.706,0.024896789,8486,hat-p-67b,12:37:43
1/31/2021,0.441735634,0.009994348,0.951877953,0.02194675,10830,2459246.032,10829.76474,0.023189359,8486,hat-p-67b,12:46:47
2/1/2021,0.465624028,0.006445806,0.985376731,0.013439208,10830,2459247.019,10829.80887,0.014418838,8486,hat-p-67b,12:27:05
2/1/2021,0.440920918,0.0064028,0.950945697,0.013724747,10830,2459247.025,10829.80784,0.014172692,8486,hat-p-67b,12:36:08
2/26/2021,0.460998821,0.010082709,1.000522208,0.023499007,10830,2459271.936,10829.79765,0.022085252,8486,hat-p-67b,10:28:30
2/26/2021,0.467579268,0.009399137,1.017282558,0.023065723,10830,2459271.943,10829.76492,0.019398924,8486,hat-p-67b,10:37:34
3/4/2021,0.298802953,0.007327162,0.757333379,0.01932492,10830,2459277.929,10829.61106,0.019731575,8486,hat-p-67b,10:18:26
3/4/2021,0.283490482,0.006253496,0.697434122,0.016615846,10830,2459277.936,10829.60018,0.016478898,8486,hat-p-67b,10:27:30
