date,ew,ew_unc,int_wv,jd,qidx,star_name,time
2021-02-24,1.3246771254885839,1.5581912161938694,8542.0,2459269.9553247844,8486.0,hat-p-67b,10:55:40
2021-02-24,1.9712917915211379,1.605288711754775,8542.0,2459269.9616175694,8486.0,hat-p-67b,11:04:43
2020-04-28,1.653024630651157,0.039872193059583144,8542.0,2458967.7573076147,6437.0,HAT-P-67b_IN_1,06:10:31
2020-04-28,0.04506346217821752,0.17464765575072044,8542.0,2458967.761255984,6437.0,HAT-P-67b_IN_1,06:16:12
2020-04-28,1.8106040214873744,0.06951427919904886,8542.0,2458967.7652043686,6437.0,HAT-P-67b_IN_1,06:21:53
2020-04-28,1.5152802983488636,0.5015625882814813,8542.0,2458967.7691525863,6437.0,HAT-P-67b_IN_1,06:27:34
2020-04-28,1.78755325186531,0.024641983712859812,8542.0,2458967.7731008427,6437.0,HAT-P-67b_IN_1,06:33:15
2020-04-28,1.7540229771333187,0.026546637685589455,8542.0,2458967.7770490204,6437.0,HAT-P-67b_IN_1,06:38:57
2020-04-28,-35.90499273351437,206.9518492170215,8542.0,2458967.780997305,6437.0,HAT-P-67b_IN_1,06:44:38
2020-04-28,1.7567789596572279,0.020159258675408798,8542.0,2458967.7849456794,6437.0,HAT-P-67b_IN_1,06:50:19
2020-04-28,1.1615366829533134,0.8408012422163201,8542.0,2458967.7888940615,6437.0,HAT-P-67b_IN_1,06:56:00
2020-04-28,1.7448472426076211,0.023096167075908895,8542.0,2458967.7928423453,6437.0,HAT-P-67b_IN_1,07:01:41
2020-04-28,1.7252562995897063,0.025752212182820502,8542.0,2458967.796790768,6437.0,HAT-P-67b_IN_1,07:07:22
2020-04-28,40.75938284180446,171.64176538376844,8542.0,2458967.8007386806,6437.0,HAT-P-67b_IN_1,07:13:03
2020-04-28,-49.43743077885533,282.9944191298374,8542.0,2458967.80468723,6437.0,HAT-P-67b_IN_1,07:18:44
2020-04-28,1.7389035937675095,0.022295414640545293,8542.0,2458967.8086356875,6437.0,HAT-P-67b_IN_1,07:24:26
2020-05-22,1.702267638331239,0.023201072336396292,8542.0,2458991.6952047665,6587.0,HAT-P-67b_IN_2,04:41:05
2020-05-22,1.751850045356594,0.02479225627448038,8542.0,2458991.699153253,6587.0,HAT-P-67b_IN_2,04:46:46
2020-05-22,-29.399633110169482,188.45125274888971,8542.0,2458991.7031016243,6587.0,HAT-P-67b_IN_2,04:52:27
2020-05-22,8.170549077205948,12.671216579117285,8542.0,2458991.7070497316,6587.0,HAT-P-67b_IN_2,04:58:09
2020-05-22,1.7139444944756326,0.019525984010938868,8542.0,2458991.7109979107,6587.0,HAT-P-67b_IN_2,05:03:50
2020-05-22,1.6729355312200367,0.3096872058499714,8542.0,2458991.7149461596,6587.0,HAT-P-67b_IN_2,05:09:31
2020-05-22,1.7067986296704338,0.017651959266763252,8542.0,2458991.7188945943,6587.0,HAT-P-67b_IN_2,05:15:12
2020-05-22,1.7363115492422982,0.017660829072367174,8542.0,2458991.722842787,6587.0,HAT-P-67b_IN_2,05:20:53
2020-05-22,2.098052980107873,1.3090391687009801,8542.0,2458991.726790991,6587.0,HAT-P-67b_IN_2,05:26:34
2020-05-22,19.897437573579207,3.9184031515754145,8542.0,2458991.730739361,6587.0,HAT-P-67b_IN_2,05:32:15
2020-05-22,1.6518381617585167,0.020623473715260788,8542.0,2458991.7346876464,6587.0,HAT-P-67b_IN_2,05:37:57
2020-05-22,-173.4385188444939,16342.483846602798,8542.0,2458991.7386359647,6587.0,HAT-P-67b_IN_2,05:43:38
2020-05-22,1.6512124750260728,0.2972671163911027,8542.0,2458991.742584231,6587.0,HAT-P-67b_IN_2,05:49:19
2020-05-22,1.6768227199159846,0.022132525129290075,8542.0,2458991.7465326916,6587.0,HAT-P-67b_IN_2,05:55:00
2020-06-15,1.6982842565553211,0.2575131277524312,8542.0,2459015.6342561548,6938.0,HAT-P-67b_IN_3,03:13:19
2020-06-15,156.38495803869583,8124.1563130629975,8542.0,2459015.63820442,6938.0,HAT-P-67b_IN_3,03:19:00
2020-06-15,1.6808041603021582,0.293525927127696,8542.0,2459015.642152591,6938.0,HAT-P-67b_IN_3,03:24:41
2020-06-15,1.76461671069962,0.025021422261640232,8542.0,2459015.646100959,6938.0,HAT-P-67b_IN_3,03:30:23
2020-06-15,1.61268270731504,0.470029652111735,8542.0,2459015.650049104,6938.0,HAT-P-67b_IN_3,03:36:04
2020-06-15,1.7007060930372149,0.022115121824095352,8542.0,2459015.6539976695,6938.0,HAT-P-67b_IN_3,03:41:45
2020-06-15,1.6681008453285144,0.35554655479885255,8542.0,2459015.6579461303,6938.0,HAT-P-67b_IN_3,03:47:26
2020-06-15,2.2708238427126366,2.8687314214865522,8542.0,2459015.6618940663,6938.0,HAT-P-67b_IN_3,03:53:07
2020-06-15,1.7811917790657728,0.02354107541086781,8542.0,2459015.665842633,6938.0,HAT-P-67b_IN_3,03:58:48
2020-04-27,1.7644962693871102,0.022233178262314805,8542.0,2458966.7702736123,6436.0,HAT-P-67b_OUT_1_before1,06:29:11
2020-04-27,121.27478372203335,676.1167908552652,8542.0,2458966.7743438105,6436.0,HAT-P-67b_OUT_1_before1,06:35:03
2020-04-27,1.726447470564429,0.018491451973251496,8542.0,2458966.778418275,6436.0,HAT-P-67b_OUT_1_before1,06:40:55
2020-04-27,1.722826342269362,0.017458555204667627,8542.0,2458966.7824949473,6436.0,HAT-P-67b_OUT_1_before1,06:46:47
