date,dec,exp_time,jd,qidx,ra,star_name,time
2020-06-08,30.477037,308.85,2459008.844181765,6590.0,21.634837,HAT-P-17b_IN_1b,08:15:37
2020-06-08,30.477239,308.85,2459008.848129954,6590.0,21.634908,HAT-P-17b_IN_1b,08:21:18
2020-06-08,30.477508,308.85,2459008.852078397,6590.0,21.63496,HAT-P-17b_IN_1b,08:26:59
2020-06-08,30.477592,308.85,2459008.856026797,6590.0,21.635026,HAT-P-17b_IN_1b,08:32:40
2020-06-08,30.477795,308.85,2459008.8599751336,6590.0,21.635091,HAT-P-17b_IN_1b,08:38:21
2020-06-08,30.477958,308.85,2459008.863923078,6590.0,21.635154,HAT-P-17b_IN_1b,08:44:02
2020-06-08,30.477978,308.85,2459008.867871505,6590.0,21.635218,HAT-P-17b_IN_1b,08:49:44
2020-06-08,30.478031,308.85,2459008.8718199856,6590.0,21.63527,HAT-P-17b_IN_1b,08:55:25
2020-06-08,30.478088,308.85,2459008.87576814,6590.0,21.635325,HAT-P-17b_IN_1b,09:01:06
2020-06-08,30.477984,308.85,2459008.8797163116,6590.0,21.635377,HAT-P-17b_IN_1b,09:06:47
2020-07-30,30.480575,308.85,2459060.700233623,7176.0,21.635074,HAT-P-17b_IN_3,04:48:20
2020-07-30,30.4807,308.85,2459060.7041816763,7176.0,21.635154,HAT-P-17b_IN_3,04:54:01
2020-07-30,30.480991,308.85,2459060.708130173,7176.0,21.635216,HAT-P-17b_IN_3,04:59:42
2020-07-30,30.481124,308.85,2459060.7120784107,7176.0,21.635285,HAT-P-17b_IN_3,05:05:23
2020-07-30,30.481199,308.85,2459060.7160266037,7176.0,21.635361,HAT-P-17b_IN_3,05:11:04
2020-07-30,30.481518,308.85,2459060.719974614,7176.0,21.635434,HAT-P-17b_IN_3,05:16:45
2020-07-30,30.481541,308.85,2459060.723923513,7176.0,21.635493,HAT-P-17b_IN_3,05:22:26
2020-07-30,30.481592,308.85,2459060.7278716327,7176.0,21.635559,HAT-P-17b_IN_3,05:28:08
2020-07-30,30.481625,308.85,2459060.7318198606,7176.0,21.635616,HAT-P-17b_IN_3,05:33:49
2020-07-30,30.481584,308.85,2459060.735768108,7176.0,21.635675,HAT-P-17b_IN_3,05:39:30
2020-06-07,30.47716,308.85,2459007.84329825,6591.0,21.634805,HAT-P-17b_OUT_1b_before1,08:14:20
2020-06-07,30.477407,308.85,2459007.847246471,6591.0,21.634888,HAT-P-17b_OUT_1b_before1,08:20:02
2020-06-07,30.477466,308.85,2459007.8511947556,6591.0,21.634898,HAT-P-17b_OUT_1b_before1,08:25:43
2020-06-07,30.477947,308.85,2459007.8551430367,6591.0,21.634996,HAT-P-17b_OUT_1b_before1,08:31:24
2020-06-07,30.477958,308.85,2459007.8590911864,6591.0,21.635088,HAT-P-17b_OUT_1b_before1,08:37:05
2020-06-07,30.477996,308.85,2459007.863039849,6591.0,21.635169,HAT-P-17b_OUT_1b_before1,08:42:46
2020-06-10,30.477056,308.85,2459010.842099567,6948.0,21.634752,HAT-P-17b_OUT_1b_after2p1,08:12:37
2020-06-10,30.477254,308.85,2459010.846047929,6948.0,21.634818,HAT-P-17b_OUT_1b_after2p1,08:18:18
2020-06-10,30.477478,308.85,2459010.8499962147,6948.0,21.634877,HAT-P-17b_OUT_1b_after2p1,08:23:59
2020-06-10,30.477551,308.85,2459010.8539444664,6948.0,21.634941,HAT-P-17b_OUT_1b_after2p1,08:29:40
2020-06-11,30.477546,308.85,2459011.845071083,6949.0,21.634818,HAT-P-17b_OUT_1b_after3p2,08:16:54
2020-06-11,30.477474,308.85,2459011.849019117,6949.0,21.634893,HAT-P-17b_OUT_1b_after3p2,08:22:35
2020-06-11,30.477726,308.85,2459011.8529677154,6949.0,21.634959,HAT-P-17b_OUT_1b_after3p2,08:28:16
2020-06-11,30.4777,308.85,2459011.8569160574,6949.0,21.635015,HAT-P-17b_OUT_1b_after3p2,08:33:57
2020-07-28,30.480256,308.85,2459058.712675786,7174.0,21.63502,HAT-P-17b_OUT_3_before2,05:06:15
