# Wavelength (A)  Spectrum   Uncertainty
10829.0277   -0.006339032842    0.209804955372 
10829.0855   -0.008565300696    0.209826803783 
10829.1434   -0.168555670491    0.210010233094 
10829.2012   -0.070905015076    0.210003399084 
10829.259   -0.013467100496    0.210058883742  
10829.3168   -0.024191369498    0.210226748916 
10829.3746   -0.058682056888    0.210397418468 
10829.4324   -0.3108329101    0.210806401951   
10829.4902   -0.233068506802    0.210937116893 
10829.5479   -0.137184237687    0.2110801557   
10829.6057   0.134912836265    0.211106879029  
10829.6635   0.120221925023    0.211215925403  
10829.7213   0.174570809145    0.211201499969  
10829.779   0.033288687345    0.211712796985   
10829.8368   0.093532542444    0.212343653531  
10829.8945   -0.004490213349    0.212952824551 
10829.9522   -0.007375048771    0.213422419634 
10830.01   0.003212570601    0.214190113081    
10830.0677   0.147797674591    0.214876087096  
10830.1254   -0.038318540649    0.215885998898 
10830.1831   -0.109976058145    0.217001352725 
10830.2409   -0.074488370668    0.218207962174 
10830.2986   -0.099085749711    0.219492910877 
10830.3563   -0.092996011759    0.220807535954 
10830.414   -0.021264477703    0.222190986463  
10830.4716   -0.024625284087    0.223771454874 
10830.5293   -0.19988164166    0.225687436641  
10830.587   -0.204611043283    0.227755922441  
10830.6447   0.001121557232    0.229052392714  
10830.7023   -0.077889944087    0.224902738762 
10830.76   0.020023137884    0.220060168628    
10830.8176   0.063398931971    0.218628364706  
10830.8753   0.19729286805    0.218990037702   
10830.9329   0.294422932149    0.224680893938  
10830.9906   0.206103193844    0.231895694509  
10831.0482   0.07579068095    0.237980244618   
10831.1058   0.319546590723    0.249510417885  
10831.1634   0.323806360105    0.259636517232  
10831.2211   0.419367083038    0.265172292774  
10831.2787   0.108651731089    0.267706884133  
10831.3363   0.061291701284    0.266180535656  
10831.3939   -0.162510096336    0.258045758895 
10831.4515   0.001450342612    0.249733733568  
10831.509   0.224563421549    0.243164800132   
10831.5666   0.004585930454    0.237625474179  
10831.6242   0.058372573416    0.232264250659  
10831.6818   0.391259733245    0.22860060801   
10831.7393   0.261080200855    0.22613062903   
10831.7969   0.148764845152    0.22392983757   
10831.8544   0.150379152058    0.222125503993  
10831.912   0.177875250006    0.220789443182   
10831.9695   0.327718159445    0.219316734324  
10832.027   0.245754151487    0.217834656806   
10832.0846   0.115539006662    0.216598405456  
10832.1421   0.054753542634    0.215690621223  
10832.1996   0.27304209939    0.214714281133   
10832.2571   0.216302083626    0.214042410281  
10832.3146   0.206223356602    0.213167223994  
10832.3721   0.261697459423    0.212162054393  
10832.4296   0.14362276759    0.211492819828   
10832.4871   0.106073092097    0.210924998951  
10832.5446   0.208328690712    0.210393815669  
10832.6021   0.364085215415    0.209819460759  
10832.6595   0.420936253827    0.209490524033  
10832.717   0.466177669568    0.209316527033   
10832.7745   0.574820990562    0.209363244213  
10832.8319   0.622283042741    0.209699210703  
10832.8894   0.862371156312    0.210016358807  
10832.9468   0.86845884473    0.21049475476    
10833.0042   1.009052739068    0.210816074276  
10833.0617   1.082452876943    0.211243938497  
10833.1191   1.149397764977    0.211498786328  
10833.1765   1.181915061881    0.211876702706  
10833.2339   1.233592291039    0.21210040355   
10833.2913   1.136351379385    0.212057172548  
10833.3487   1.094558864779    0.211788647504  
10833.4061   1.013673560492    0.211434520701  
10833.4635   0.939982201548    0.210971415879  
10833.5209   0.76343650112    0.210490735223   
10833.5783   0.544369009915    0.210096539878  
10833.6356   0.532320967429    0.209724236359  
10833.693   0.415737753599    0.209832009863   
10833.7504   0.384175446538    0.210292950874  
10833.8077   0.321394212544    0.211371698311  
10833.8651   0.119357298712    0.212923762002  
10833.9224   0.063266464068    0.214714049195  
10833.9798   0.226094435416    0.216930466482  
10834.0371   0.222158170742    0.219753693316  
10834.0944   0.30906535461    0.222659373681   
10834.1517   0.347608340571    0.2259353601    
10834.209   0.19208335175    0.229097609636    
10834.2663   0.152559162725    0.231552629125  
10834.3236   0.098691435145    0.23342670207   
10834.3809   0.00627109083    0.23437650249    
10834.4382   -0.030660259862    0.234244059193 
10834.4955   -0.197070614055    0.233076915702 
10834.5528   -0.154627122563    0.230917966055 
10834.61   -0.034299967327    0.227994261604   
10834.6673   -0.066462790139    0.224970880291 
10834.7246   -0.299614137974    0.221991181801 
10834.7818   -0.174358036673    0.218872421538 
10834.8391   -0.142956381922    0.216011711878 
10834.8963   -0.190224351625    0.213553454063 
10834.9535   -0.163375542912    0.211537046958 
