HD 209458 b & Ly$\alpha$, Balmer-series, metals, He 
HD 189733 b & Ly$\alpha$, Balmer-series, metals, He 
KELT-9 b  & Balmer-series 
WASP-12 b  & Balmer-series, metals 
KELT-20 b  & Balmer-series 
WASP-52 b & Balmer-series, He 
WASP-33 b  & Balmer-series 
WASP-121 b & Balmer-series, metals 
Gl 436 b & Ly$\alpha$ 
GJ 3470 b & Ly$\alpha$, He 
K2-18 b & Ly$\alpha$ (tentative) 
HD 63433 c & Ly$\alpha$ 
HAT-P-11 b & Ly$\alpha$, C\,II, He 
$\pi$ Men c & C\,II 
WASP-107 b & He 
WASP-69 b & He 
HAT-P-32 b & He 
WASP-76 b & He (tentative) 
WASP-177 b & He (tentative) 
GJ~1214 b & He (tentative) 
HAT-P-18 b & He 
NGTS-5 b &  He (tentative) 
HAT-P-26 b & He  
V1298 Tau d &  He (tentative) 
HD 73583 b & He 
TOI-1430 b & He 
TOI-2076 b & He 
TOI-1683 b & He 
