x, y
0.3085033320504044, 2.286995515695067
0.3191265418823897, 2.1524663677130045
0.3414829780914133, 1.9461883408071747
0.38120099735400925, 1.7488789237668159
0.45922010874977753, 1.5739910313901344
0.5722566300342127, 1.4394618834080715
0.7376729118716941, 1.3587443946188338
1.0980569725455593, 1.2914798206278026
1.7196517762368693, 1.2600896860986548
2.5168076022247883, 1.242152466367713
4.0088258412679485, 1.2197309417040356
5.817694703808734, 1.1838565022421523
8.231090265711883, 1.139013452914798
10.791502132708032, 1.0986547085201792
11.844461901080221, 1.0807174887892377
