x, y
0.5722566300342127, 2.2780269058295963
0.6020678455683341, 2.1479820627802693
0.6442457581404365, 2.0089686098654704
0.7695603258055934, 1.780269058295964
0.9753581994986384, 1.6143497757847531
1.4035313258551274, 1.4843049327354259
2.2167336586491655, 1.42152466367713
3.530861543069802, 1.390134529147982
5.124062583996434, 1.3408071748878923
6.549553012362276, 1.3049327354260087
8.659881813268571, 1.251121076233184
10.700550824671396, 1.210762331838565
11.844461901080221, 1.1838565022421523
